"Name","Type","Unlock Prerequisite","Research Scrolls","Antique Tokens","Tier","Value","Crafting Time (seconds)","Crafting Time (formatted)","Value / Crafting Time","Merchant XP","Merchant XP / Crafting Time","Worker XP","Fusion XP","Favor","Airship Power","","Required Worker ","Worker Level","Required Worker","Worker Level","Required Worker","Worker Level","","","","","","","","","","","","","","","Component","Component Quality","Amount Needed","Component","Component Quality","Amount Needed","","ATK","DEF","HP","EVA","CRIT","Mana Shield","","Elemental Affinity","Spirit Affinity","Built-In Element","Built-In Spirit","","Crafting Upgrade 1","Crafts Needed","Crafting Upgrade 2","Crafts Needed","Crafting Upgrade 3","Crafts Needed","Crafting Upgrade 4","Crafts Needed","Crafting Upgrade 5","Crafts Needed","","Starforged Milestone 1","Crafts Needed","Starforged Milestone 2","Crafts Needed","Starforged Milestone 3","Crafts Needed","Starforged Milestone 4","Crafts Needed","Starforged Milestone 5","Crafts Needed","","Ascension Upgrade 1","Shards Needed","Ascension Upgrade 2","Shards Needed","Ascension Upgrade 3","Shards Needed","Transcendence Upgrade 1","Seals Needed","Transcendence Upgrade 2","Seals Needed","Transcendence Upgrade 3","Seals Needed","","Discount Energy","Surcharge Energy","Suggest Energy","Speed Up Energy","","Is Antique starting on (UTC)",""
"Katana","Sword","---","18","","6","24,000","2,400","00:40:00","10.00","13,500","5.63","203","1,015","173","160","","Blacksmith","13","Master","1","---","","","85","---","---","---","21","---","---","---","---","---","---","---","","White Sand","---","4","Precious Gem","---","2","","200","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-17 Iron Spent","16","Blueprint: Regal Blade","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-4 Steel Spent","25","+10% Multicraft Chance","25","-1 White Sand Spent","25","ATK +20","25","DEF +16","25","+10% Base ATK, DEF and HP","25","","115","255","50","420","","",""
"Serrated Cinquedea","Sword","Autumn Mega Pack","---","140","6","38,500","3,600","01:00:00","10.69","17,500","4.86","263","1,315","296","276","","Blacksmith","15","Master","1","---","","","113","---","---","---","29","---","---","---","---","---","---","---","","White Sand","---","4","Iron Pine Cone","---","4","","230","---","---","---","0.05","---","","Earth","---","---","---","","-25% Craft Time Reduction","7","-23 Iron Spent","18","x1.25 Value Increase","32","-6 Steel Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-23 Iron Spent","25","-2 Iron Pine Cone Spent","25","+10% Multicraft Chance","25","ATK +23","25","CRIT +2%","25","+10% Base ATK, DEF and HP","25","","145","320","65","515","","March 7, 2021",""
"Ruler of Rulers","Sword","Office Mega Pack","---","140","6","50,000","4,800","01:20:00","10.42","19,500","4.06","293","1,465","357","285","","Carpenter","16","Master","1","---","","","","127","---","---","","33","---","---","---","---","---","---","","Bronze Fang","---","4","Silver Dust","---","5","","250","71","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-25 Wood Spent","18","-7 Ironwood Spent","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-25 Wood Spent","25","-1 Bronze Fang Spent","25","+10% Multicraft Chance","25","ATK +25","25","DEF +20","25","+10% Base ATK, DEF and HP","25","","160","360","70","565","","March 3, 2024",""
"Regal Blade","Sword","---","20","","7","64,500","6,000","01:40:00","10.75","22,000","3.67","330","1,650","498","216","","Blacksmith","17","Master","13","---","","","141","---","---","---","36","---","---","18","---","---","---","---","","Star Metal","---","4","---","---","","","270","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-28 Iron Spent","18","Blueprint: Celesteel Blade","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-7 Steel Spent","30","+10% Multicraft Chance","30","-1 Star Metal Spent","30","ATK +27","30","DEF +22","30","+10% Base ATK, DEF and HP","30","","180","405","80","620","","",""
"Chronos Runeblade","Sword","Chronos Ruins Mega Pack","---","160","7","100,000","7,200","02:00:00","13.89","24,500","3.40","368","1,840","502","308","","Blacksmith","18","Master","14","---","","","155","---","---","---","39","---","---","---","---","---","---","---","","Ancient Marble","---","2","Star Metal","---","2","","280","70","---","---","---","---","","Earth","---","---","---","","-25% Craft Time Reduction","7","-23 Iron Spent","18","x1.25 Value Increase","32","-23 Iron Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-8 Steel Spent","30","+10% Multicraft Chance","30","-1 Star Metal Spent","30","ATK +28","30","DEF +22","30","+10% Base ATK, DEF and HP","30","","225","500","100","675","","August 20, 2023",""
"Bitterblack Blade","Sword","Cursed King Mega Pack","---","160","7","115,000","8,400","02:20:00","13.69","27,000","3.21","405","2,025","591","285","","Blacksmith","19","Master","15","---","","","170","---","---","---","43","---","---","---","---","---","---","---","","Chronos Crystal","---","2","Evil Eye","---","3","","300","---","9","---","---","---","","Dark","---","---","---","","-25% Craft Time Reduction","7","-9 Steel Spent","16","x1.25 Value Increase","30","-1 Evil Eye Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-26 Iron Spent","30","+10% Multicraft Chance","30","-1 Evil Eye Spent","30","ATK +30","30","HP +9","30","+10% Base ATK, DEF and HP","30","","240","535","105","735","","November 10, 2024",""
"Hackrazor Edge","Sword","Neonpunk Mega Pack II","---","160","7","125,000","8,400","02:20:00","14.88","27,000","3.21","405","2,025","591","360","","Blacksmith","19","Master","15","---","","","170","---","---","---","43","---","---","---","---","---","---","---","","Chronos Crystal","---","2","Star Metal","---","3","","300","---","---","---","0.05","---","","---","---","---","---","","-25% Craft Time Reduction","7","-26 Iron Spent","16","x1.25 Value Increase","30","-1 Chronos Crystal Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-9 Steel Spent","30","+10% Multicraft Chance","30","-1 Star Metal Spent","30","ATK +30","30","CRIT +2%","30","+10% Base ATK, DEF and HP","30","","250","560","110","735","","July 5, 2026",""
"Celesteel Blade","Sword","---","30","","8","195,000","13,200","03:40:00","14.77","32,500","2.46","488","2,440","753","272","","Blacksmith","21","Master","17","---","","","199","---","---","---","51","---","---","---","---","5","---","---","","Chronos Crystal","---","5","Silk Scarab","---","2","","340","---","---","---","---","---","","Light","---","---","---","","-25% Craft Time Reduction","7","-40 Iron Spent","16","Blueprint: Mythril Edge","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Jewels Spent","35","+10% Multicraft Chance","35","-2 Silk Scarab Spent","35","ATK +34","35","DEF +27","35","+10% Base ATK, DEF and HP","35","","310","690","140","860","","",""
"Damocles","Sword","Timeworn Chest","---","","8","230,000","16,200","04:30:00","14.20","35,500","2.19","533","2,665","981","326","","Blacksmith","21","Master","17","---","","","214","---","---","---","57","---","---","---","6","---","---","---","","Overgrown Vine","---","4","Moon Crystal","---","7","","407","---","---","---","---","---","","---","---","Unholy Element","---","","-25% Craft Time Reduction","7","-43 Iron Spent","16","x1.25 Value Increase","30","-11 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Ether Spent","35","+10% Multicraft Chance","35","-1 Overgrown Vine Spent","35","ATK +35","35","DEF +28","35","+10% Base ATK, DEF and HP","35","","330","735","145","925","","",""
"Luxurious Macuahuitl","Sword","Luxurious Chest","---","","8","365,000","19,200","05:20:00","19.01","39,000","2.03","585","2,925","1,146","296","","Blacksmith","22","Master","18","---","","","229","---","---","---","62","---","---","---","---","8","---","---","","Golden Chunk","---","3","Chronos Crystal","---","4","","370","---","---","---","---","---","","Gold","Xolotl Spirit","---","---","","-25% Craft Time Reduction","7","-46 Iron Spent","16","x1.25 Value Increase","30","-12 Steel Spent","45","Quality Chance x2","70","","+10% Surcharge Value","10","x1.25 Value Increase","20","+20% Bonus Favor","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Jewels Spent","35","+10% Multicraft Chance","35","-1 Chronos Crystal Spent","35","ATK +37","35","DEF +30","35","+10% Base ATK, DEF and HP","35","","315","700","140","995","","July 23, 2020",""
"Crystalline Rapier","Sword","---","---","180","8","225,000","19,200","05:20:00","11.72","39,000","2.03","585","2,925","1,099","356","","Blacksmith","22","Master","18","---","","","221","---","---","---","58","---","---","---","---","8","---","---","","Chronos Crystal","---","4","Star Metal","---","4","","370","---","12","---","---","---","","Light","---","---","---","","-25% Craft Time Reduction","7","-44 Iron Spent","16","-12 Steel Spent","30","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","Quality Chance x2","100","","-2 Jewels Spent","35","-1 Chronos Crystal Spent","35","+10% Multicraft Chance","35","ATK +37","35","HP +11","35","+10% Base ATK, DEF and HP","35","","335","740","150","995","","November 19, 2023",""
"Mythril Edge","Sword","---","40","","9","300,000","19,800","05:30:00","15.15","45,500","2.30","683","3,415","1,375","328","","Blacksmith","23","Master","19","---","","","259","---","---","---","72","---","---","---","---","12","---","---","","Spooky Ectoplasm","---","4","Star Metal","---","5","","410","---","---","---","---","---","","---","---","---","---","","-25% Craft Time Reduction","7","-52 Iron Spent","18","Blueprint: Oversized Cleaver","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-4 Jewels Spent","40","-3 Star Metal Spent","40","+10% Multicraft Chance","40","ATK +41","40","DEF +33","40","+10% Base ATK, DEF and HP","40","","385","850","170","1,140","","",""
"Seafarer Blade","Sword","Champion Clash Superior Pack","---","200","9","420,000","24,000","06:40:00","17.50","49,000","2.04","735","3,675","1,777","409","","Blacksmith","24","Master","20","---","","","275","---","---","---","77","---","---","---","---","14","---","---","","Ghastly Pennant","---","4","Silver Dust","---","3","","430","---","13","---","---","---","","Water","---","---","---","","-25% Craft Time Reduction","7","-55 Iron Spent","18","x1.25 Value Increase","32","-15 Steel Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-4 Jewels Spent","40","-3 Silver Dust Spent","40","+10% Multicraft Chance","40","ATK +43","40","HP +13","40","+10% Base ATK, DEF and HP","40","","450","1,000","200","1,220","","October 18, 2020",""
"Gentleman Blade","Sword","Victorian Mega Pack","---","200","9","395,000","24,000","06:40:00","16.46","49,000","2.04","735","3,675","1,777","474","","Blacksmith","24","Master","20","---","","","275","---","---","---","77","---","---","---","14","---","---","---","","Thread of Fate","---","3","Overgrown Vine","---","3","","430","108","---","---","---","---","","---","---","---","---","","-30% Craft Time Reduction","7","-83 Iron Spent","18","x1.25 Value Increase","32","-19 Steel Spent","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","Quality Chance x2","110","","-4 Ether Spent","40","-1 Overgrown Vine Spent","40","+10% Multicraft Chance","40","ATK +43","40","DEF +34","40","+10% Base ATK, DEF and HP","40","","435","970","195","1,220","","November 29, 2020",""
"Oversized Cleaver","Sword","---","55","","10","605,000","24,000","06:40:00","25.21","53,000","2.21","795","3,975","1,835","360","","Blacksmith","25","Master","21","Jeweler","18","","290","---","---","---","82","---","---","---","---","17","---","---","","Crystal Lullaby","---","5","Star Metal","---","6","","450","---","---","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","7","-58 Iron Spent","18","Blueprint: Vorpal Sword","32","x1.25 Value Increase","50","Quality Chance x2","80","","+20% Surcharge Value","10","-10% Surcharge Cost","25","x1.25 Value Increase","45","+10% Multicraft Chance","70","+25% Base ATK, DEF and HP","110","","-5 Jewels Spent","45","-3 Star Metal Spent","45","+10% Multicraft Chance","45","ATK +45","45","DEF +36","45","+10% Base ATK, DEF and HP","45","","805","1,790","360","2,335","","",""
"Caladbolg","Sword","Sunken Chest","---","","10","665,000","28,200","07:50:00","23.58","56,500","2.00","848","4,240","2,352","434","","Blacksmith","25","Master","21","Jeweler","18","","306","---","---","---","87","---","---","---","---","19","---","---","","Deep Coral","---","5","Moon Crystal","---","6","","542","---","---","---","---","---","","---","---","Flood Element","---","","-20% Craft Time Reduction","6","-61 Iron Spent","16","x1.25 Value Increase","28","-2 Deep Coral Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-6 Jewels Spent","45","-6 Moon Crystal Spent","45","+10% Multicraft Chance","45","ATK +47","45","DEF +38","45","+10% Base ATK, DEF and HP","45","","820","1,825","365","2,480","","",""
"Dragon Dao","Sword","Dragon Siblings Superior Offer","---","250","10","650,000","28,200","07:50:00","23.05","56,500","2.00","848","4,240","2,352","518","","Blacksmith","25","Master","21","Jeweler","18","","306","---","---","---","87","---","---","---","19","---","---","---","","Precious Shell","---","4","Overgrown Vine","---","3","","470","118","---","---","---","---","","---","---","---","---","","-30% Craft Time Reduction","6","-92 Iron Spent","16","x1.25 Value Increase","28","-22 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-6 Ether Spent","45","-1 Overgrown Vine Spent","45","+10% Multicraft Chance","45","ATK +47","45","DEF +38","45","+10% Base ATK, DEF and HP","45","","835","1,850","370","2,480","","June 28, 2021",""
"Tiger Blade","Sword","Content Pass: Year of the Tiger","---","250","10","680,000","33,600","09:20:00","20.24","61,000","1.82","915","4,575","2,705","459","","Blacksmith","26","Master","22","Jeweler","19","","322","---","---","---","93","---","---","---","---","22","---","---","","Deep Coral","---","4","Precious Shell","---","3","","480","---","15","---","---","---","","---","Tiger Power","---","---","","-30% Craft Time Reduction","6","-97 Iron Spent","16","x1.25 Value Increase","28","-1 Precious Shell Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-7 Jewels Spent","45","-28 Steel Spent","45","+10% Multicraft Chance","45","ATK +48","45","HP +15","45","+10% Base ATK, DEF and HP","45","","850","1,890","380","2,635","","July 24, 2022",""
"Vorpal Sword","Sword","---","85","","11","1,400,000","39,600","11:00:00","35.35","97,500","2.46","1,463","7,315","2,736","464","","Blacksmith","27","Master","23","Jeweler","20","","338","---","---","---","98","---","---","---","---","23","---","---","","Sigil of Might","---","1","Boreal Gale","---","4","","580","---","---","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","6","-68 Iron Spent","16","Blueprint: Excalibur","28","x1.25 Value Increase","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-7 Jewels Spent","60","-1 Boreal Gale Spent","60","+10% Multicraft Chance","60","ATK +58","60","DEF +46","60","+10% Base ATK, DEF and HP","60","","1,045","2,320","465","2,790","","",""
"Elegant Rapier","Sword","Victorian Spring Mega Pack","---","300","11","1,500,000","39,600","11:00:00","37.88","97,500","2.46","1,463","7,315","3,061","554","","Blacksmith","27","Master","23","Jeweler","20","","338","---","---","---","98","---","---","---","---","23","---","---","","Sigil of Grace","---","1","Zirconia Eggshell","---","3","","580","---","18","---","---","---","","---","---","---","---","","-20% Craft Time Reduction","6","-68 Iron Spent","16","x1.25 Value Increase","28","-20 Steel Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-7 Jewels Spent","60","-1 Zirconia Eggshell Spent","60","+10% Multicraft Chance","60","ATK +58","60","HP +18","60","+10% Base ATK, DEF and HP","60","","1,080","2,395","480","2,790","","October 3, 2021",""
"Tsukuyomi","Sword","Moon Festival Superior Pack","---","300","11","1,650,000","47,400","13:10:00","34.81","105,000","2.22","1,575","7,875","3,479","720","","Blacksmith","27","Master","23","Jeweler","20","","354","---","---","---","103","---","---","---","---","25","---","---","","Sigil of Might","---","1","Grim Talon","---","3","","600","---","---","---","0.05","---","","Dark","---","---","---","","-25% Craft Time Reduction","6","-21 Steel Spent","16","x1.25 Value Increase","28","-4 Jewels Spent","45","Quality Chance x2","70","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","40","+10% Multicraft Chance","65","+25% Base ATK, DEF and HP","100","","-106 Iron Spent","60","-4 Jewels Spent","60","+10% Multicraft Chance","60","ATK +60","60","CRIT +2%","60","+10% Base ATK, DEF and HP","60","","1,130","2,510","500","2,950","","March 21, 2022",""
"Excalibur","Sword","---","120","","12","2,600,000","66,600","18:30:00","39.04","195,000","2.93","2,925","14,625","4,046","584","","Blacksmith","29","Master","25","Jeweler","22","","387","---","---","---","113","---","---","---","---","31","---","---","","Sigil of True Might","---","1","Raw Obsidian","---","3","","730","---","---","---","---","---","","Light","---","---","---","","-20% Craft Time Reduction","6","-77 Iron Spent","14","x1.25 Value Increase","26","Blueprint: Djinn Pyre","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","-40% Jewels Spent","35","+10% Multicraft Chance","55","+25% Base ATK, DEF and HP","85","","-9 Jewels Spent","80","-34 Steel Spent","80","+10% Multicraft Chance","80","ATK +73","80","DEF +58","80","+10% Base ATK, DEF and HP","80","","1,405","3,120","625","3,290","","",""
"Titan Sword","Sword","Shop Titans Superior Pack","---","350","12","2,800,000","66,600","18:30:00","42.04","195,000","2.93","2,925","14,625","4,570","804","","Blacksmith","29","Master","25","Priestess","22","","390","---","---","---","110","---","---","---","31","---","---","---","","Sigil of True Might","---","1","Zirconia Eggshell","---","4","","730","183","---","---","---","---","","Light","Titan Solemnity","---","---","","-20% Craft Time Reduction","6","-78 Iron Spent","14","-17 Steel Spent","26","x1.25 Value Increase","40","Quality Chance x2","60","","+20% Surcharge Value","10","-10% Surcharge Cost","20","x1.25 Value Increase","35","+10% Multicraft Chance","55","+25% Base ATK, DEF and HP","85","","-8 Ether Spent","80","-17 Steel Spent","80","+15% Multicraft Chance","80","ATK +73","80","DEF +58","80","+10% Base ATK, DEF and HP","80","","1,455","3,235","645","3,290","","December 12, 2022",""
