"Name","Type","Worker Level Required","Quantity","Fuse Time (seconds)","Fuse Time (formatted)","Worker XP","","Component","Component Tier","Amount Needed","Component","Amount Needed","Component","Amount Needed","Component","Amount Needed","Component","Amount Needed",""
"Perfect Moonstone","Stones","33","3","10,800","3:00:00","3,610","","Greater Moonstone","---","9","---","","---","---","---","---","---","---",""
"Supreme Moonstone","Stones","37","3","21,600","6:00:00","4,626","","Perfect Moonstone","---","9","---","","---","---","---","---","---","---",""
"Elven Wood","Component","1","25","3,600","1:00:00","7","","Wooden Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Iron Pine Cone","Component","2","25","3,600","1:00:00","13","","Wooden Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Glow Shroom","Component","3","25","3,600","1:00:00","24","","Wooden Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Silver Dust","Component","4","25","5,400","1:30:00","44","","Frozen Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Webbed Wing","Component","5","25","5,400","1:30:00","48","","Frozen Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Precious Gem","Component","6","25","5,400","1:30:00","94","","Frozen Chest","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Living Root","Component","7","25","7,200","2:00:00","130","","Slimy Chest","---","1","Lesser Moonstone","4","---","---","---","---","---","---",""
"Rustwyrm Scale","Component","8","25","7,200","2:00:00","165","","Slimy Chest","---","1","Lesser Moonstone","4","---","---","---","---","---","---",""
"Deep Pearl","Component","9","25","7,200","2:00:00","220","","Slimy Chest","---","1","Lesser Moonstone","4","---","---","---","---","---","---",""
"White Sand","Component","10","25","9,000","2:30:00","435","","Limestone Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Bronze Fang","Component","11","25","9,000","2:30:00","337","","Limestone Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Moon Crystal","Component","12","25","9,000","2:30:00","406","","Limestone Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Evil Eye","Component","13","25","10,800","3:00:00","463","","Ancient Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Silk Scarab","Component","14","25","10,800","3:00:00","566","","Ancient Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Star Metal","Component","15","25","10,800","3:00:00","656","","Ancient Chest","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Ancient Marble","Component","16","25","12,600","3:30:00","786","","Timeworn Chest","---","1","Superior Moonstone","4","---","---","---","---","---","---",""
"Overgrown Vine","Component","17","25","12,600","3:30:00","860","","Timeworn Chest","---","1","Superior Moonstone","4","---","---","---","---","---","---",""
"Chronos Crystal","Component","18","25","12,600","3:30:00","973","","Timeworn Chest","---","1","Superior Moonstone","4","---","---","---","---","---","---",""
"Spooky Ectoplasm","Component","19","25","14,400","4:00:00","1,048","","Forsaken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Thread of Fate","Component","20","25","14,400","4:00:00","1,221","","Forsaken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Ghastly Pennant","Component","21","25","14,400","4:00:00","1,385","","Forsaken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Deep Coral","Component","22","25","16,200","4:30:00","1,439","","Sunken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Crystal Lullaby","Component","23","25","16,200","4:30:00","1,652","","Sunken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Precious Shell","Component","24","25","16,200","4:30:00","1,737","","Sunken Chest","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Grim Talon","Component","25","20","18,000","5:00:00","1,898","","Bleak Chest","---","1","Greater Moonstone","4","---","---","---","---","---","---",""
"Zirconia Eggshell","Component","26","20","18,000","5:00:00","2,066","","Bleak Chest","---","1","Greater Moonstone","4","---","---","---","---","---","---",""
"Boreal Gale","Component","27","20","18,000","5:00:00","2,337","","Bleak Chest","---","1","Greater Moonstone","4","---","---","---","---","---","---",""
"Crush Claw","Component","28","20","19,800","5:30:00","2,426","","Molten Chest","---","1","Perfect Moonstone","1","---","---","---","---","---","---",""
"Raw Obsidian","Component","29","20","19,800","5:30:00","2,728","","Molten Chest","---","1","Perfect Moonstone","1","---","---","---","---","---","---",""
"Magma Core","Component","30","20","19,800","5:30:00","2,936","","Molten Chest","---","1","Perfect Moonstone","1","---","---","---","---","---","---",""
"Outsider's Claw","Component","30","20","21,600","6:00:00","2,936","","Void Chest","---","1","Perfect Moonstone","2","---","---","---","---","---","---",""
"All-Seeing Eye","Component","31","20","21,600","6:00:00","3,153","","Void Chest","---","1","Perfect Moonstone","2","---","---","---","---","---","---",""
"Astral Fabric","Component","32","20","21,600","6:00:00","3,377","","Void Chest","---","1","Perfect Moonstone","2","---","---","---","---","---","---",""
"Demigod Pinion","Component","33","20","23,400","6:30:00","3,463","","Divine Chest","---","1","Supreme Moonstone","1","---","---","---","---","---","---",""
"Heaven's Crest","Component","34","20","23,400","6:30:00","3,694","","Divine Chest","---","1","Supreme Moonstone","1","---","---","---","---","---","---",""
"Divine Spark","Component","35","20","23,400","6:30:00","3,933","","Divine Chest","---","1","Supreme Moonstone","1","---","---","---","---","---","---",""
"Mysterious Fossil","Component","36","20","23,400","6:30:00","4,359","","Prehistoric Chest","---","1","Supreme Moonstone","2","---","---","---","---","---","---",""
"Dinosaur Leather","Component","37","20","23,400","6:30:00","4,437","","Prehistoric Chest","---","1","Supreme Moonstone","2","---","---","---","---","---","---",""
"Ancient Amber","Component","38","20","23,400","6:30:00","5,106","","Prehistoric Chest","---","1","Supreme Moonstone","2","---","---","---","---","---","---",""
"Xzyur Claw","Component","39","20","25,200","7:00:00","4,665","","Otherwordly Chest","---","1","Supreme Moonstone","3","---","---","---","---","---","---",""
"Xzyur Eye","Component","39","20","25,200","7:00:00","4,665","","Otherwordly Chest","---","1","Supreme Moonstone","3","---","---","---","---","---","---",""
"Alien Bulb","Component","39","20","25,200","7:00:00","4,665","","Otherwordly Chest","---","1","Supreme Moonstone","3","---","---","---","---","---","---",""
"Golden Chunk","Component","18","5","10,800","3:00:00","973","","Repair Kit","---","1","Superior Moonstone","2","---","---","---","---","---","---",""
"Opulent Jewel","Component","31","5","18,000","5:00:00","3,153","","Golden Chunk","---","20","Greater Moonstone","3","---","---","---","---","---","---",""
"Platinum Bangles","Component","33","4","28800","8:00:00","3610","","Opulent Jewel","---","15","Perfect Moonstone","2","---","---","---","---","---","---",""
"Precious Pearl","Component","36","5","39600","11:00:00","4181","","Platinum Bangles","---","20","Supreme Moonstone","1","---","---","---","---","---","---",""
"Sigil of Might","Component","28","3","7200","2:00:00","2529","","Grim Talon","---","10","Superior Moonstone","2","---","---","---","---","---","---",""
"Sigil of Grace","Component","28","3","7200","2:00:00","2426","","Zirconia Eggshell","---","10","Superior Moonstone","2","---","---","---","---","---","---",""
"Sigil of Spark","Component","28","3","7200","2:00:00","2529","","Boreal Gale","---","10","Superior Moonstone","2","---","---","---","---","---","---",""
"Sigil of True Might","Component","33","3","10800","3:00:00","3610","","Crush Claw","---","10","Greater Moonstone","2","---","---","---","---","---","---",""
"Sigil of True Grace","Component","33","3","10800","3:00:00","3463","","Raw Obsidian","---","10","Greater Moonstone","2","---","---","---","---","---","---",""
"Sigil of True Spark","Component","33","3","10800","3:00:00","3610","","Magma Core","---","10","Greater Moonstone","2","---","---","---","---","---","---",""
"Collection Card Pack","Special","15","2","21600","6:00:00","684","","Card Shard","---","50","Superior Moonstone","4","---","---","---","---","---","---",""
"Wooden Chest","Special","3","5","1800","0:30:00","24","","Wooden Key","---","1","Lesser Moonstone","2","---","---","---","---","---","---",""
"Frozen Chest","Special","7","5","3600","1:00:00","125","","Frozen Key","---","1","Lesser Moonstone","2","---","---","---","---","---","---",""
"Slimy Chest","Special","11","5","5400","1:30:00","324","","Slimy Key","---","1","Lesser Moonstone","3","---","---","---","---","---","---",""
"Limestone Chest","Special","15","5","7200","2:00:00","630","","Limestone Key","---","1","Superior Moonstone","2","---","---","---","---","---","---",""
"Ancient Chest","Special","19","5","9000","2:30:00","1048","","Ancient Key","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Timeworn Chest","Special","23","5","10800","3:00:00","1585","","Timeworn Key","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Forsaken Chest","Special","27","5","12600","3:30:00","2242","","Forsaken Key","---","1","Greater Moonstone","2","---","---","---","---","---","---",""
"Sunken Chest","Special","31","5","14400","4:00:00","3024","","Sunken Key","---","1","Greater Moonstone","3","---","---","---","---","---","---",""
"Bleak Chest","Special","33","5","18000","5:00:00","3463","","Bleak Key","---","1","Greater Moonstone","4","---","---","---","---","---","---",""
"Molten Chest","Special","35","5","21600","6:00:00","3933","","Molten Key","---","1","Perfect Moonstone","2","---","---","---","---","---","---",""
"Void Chest","Special","36","5","28800","8:00:00","4181","","Void Key","---","1","Perfect Moonstone","3","---","---","---","---","---","---",""
"Divine Chest","Special","37","5","32400","9:00:00","4437","","Divine Key","---","1","Supreme Moonstone","2","---","---","---","---","---","---",""
"Prehistoric Chest","Special","38","5","36000","10:00:00","4701","","Prehistoric Key","---","1","Supreme Moonstone","3","---","---","---","---","---","---",""
"Otherwordly Chest","Special","39","5","39600","11:00:00","4973","","Otherwordly Key","---","1","Supreme Moonstone","4","---","---","---","---","---","---",""
"Luxurious Chest","Special","25","5","10800","3:00:00","1898","","Luxurious Key","---","1","Superior Moonstone","3","---","---","---","---","---","---",""
"Opulent Chest","Special","33","5","18000","5:00:00","3463","","Opulent Key","---","1","Greater Moonstone","5","---","---","---","---","---","---",""
"Platinum Chest","Special","36","5","28800","8:00:00","4181","","Platinum Key","---","1","Perfect Moonstone","3","---","---","---","---","---","---",""
"Pearlescent Chest","Special","39","5","39600","11:00:00","4973","","Pearlescent Key","---","1","Supreme Moonstone","3","---","---","---","---","---","---",""
