"","IRON BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","5,000 / 15,000 / 30,000 / 50,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STEEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","50,000 / 150,000 / 300,000 / 500,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","JEWEL BIN ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","2,000,000 / 3,000,000 / 50,000,000 / 100,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","ESSENCE BEACON ","Bin Level","Size","Storage Cap","Extra Bin Purchase Prices Cap Increase","Regen Bonus (%)","Gold Cost","250,000,000 / 500,000,000 / 750,000,000 / 1,000,000,000 Gold Gem Cost","Dragonmarks","Upgrade Time","Required Building","","DRAGON'S HOARD BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building","","STARDUST BIN ","Bin Level","Size","Storage Cap","Cap Increase","Gold Cost","Gem Cost","Dragonmarks","Upgrade Time","Required Building",""
"","STAGE 3","11","3x3","125","12","---","6,250,000","200","---","2 days","Iron Mine Lv. 12","","STAGE 3","11","3x3","60","6","---","15,000,000","400","---","2 days, 14 hours","Smelter Lv. 12","","STAGE 3","11","3x3","33","3","---","40,000,000","600","---","3 days, 21 hours","Jewel Storehouse Lv. 12","","STAGE 3","11","3x3","20","2","---","120,000,000","700","---","7 days, 18 hours","Mausoleum Lv. 12","","STAGE 3","11","4x4","40 / 20 / 10","4 / 2","25,000,000","600","200","4 days","---","","STAGE 3","11","3x3","90","6","160,000,000","2,400","---","13 days, 13 hours, 30 mins","---",""
"","","12","3x3","145","20","---","12,500,000","250","---","2 days, 6 hours","Iron Mine Lv. 12","","","12","3x3","68","8","---","25,000,000","450","---","3 days, 2 hours","Smelter Lv. 12","","","12","3x3","37","4","---","60,000,000","650","---","4 days, 15 hours","Jewel Storehouse Lv. 12","","","12","3x3","23","3","---","180,000,000","800","---","9 days, 6 hours","Mausoleum Lv. 12","","","12","4x4","46 / 22 / 11","6 / 2 / 1","50,000,000","800","225","4 days, 12 hours","---","","","12","3x3","94","4","240,000,000","2,600","---","16 days, 4 hours, 30 mins","---",""
"","","13","3x3","165","20","---","25,000,000","300","---","2 days, 12 hours","Iron Mine Lv. 13","","","13","3x3","76","8","---","75,000,000","500","---","3 days, 14 hours","Smelter Lv. 13","","","13","3x3","41","4","---","100,000,000","700","---","5 days, 9 hours","Jewel Storehouse Lv. 13","","","13","3x3","26","3","---","300,000,000","900","---","10 days, 18 hours","Mausoleum Lv. 13","","","13","4x4","52 / 24 / 12","6 / 2 / 1","125,000,000","1,000","250","5 days","---","","","13","3x3","98","4","400,000,000","2,800","---","18 days, 19 hours, 30 mins","---",""
"","","14","3x3","185","20","---","50,000,000","350","---","3 days","Iron Mine Lv. 14","","","14","3x3","84","8","---","150,000,000","600","---","4 days, 2 hours","Smelter Lv. 14","","","14","3x3","45","4","---","300,000,000","800","---","6 days, 3 hours","Jewel Storehouse Lv. 14","","","14","3x3","29","3","---","900,000,000","1,000","---","12 days, 6 hours","Mausoleum Lv. 14","","","14","4x4","58 / 26 / 13","6 / 2 / 1","300,000,000","1,500","275","6 days","---","","","14","3x3","102","4","1,200,000,000","3,200","---","21 days, 10 hours, 30 mins","---",""
"","","15","3x3","205","20","---","75,000,000","500","---","3 days, 12 hours","Iron Mine Lv. 15","","","15","3x3","92","8","---","250,000,000","750","---","4 days, 12 hours","Smelter Lv. 15","","","15","3x3","49","4","---","500,000,000","900","---","6 days, 18 hours","Jewel Storehouse Lv. 15","","","15","3x3","32","3","---","1,500,000,000","1,100","---","13 days, 12 hours","Mausoleum Lv. 15","","","15","4x4","64 / 28 / 14","6 / 2 / 1","500,000,000","2,000","300","7 days","---","","","15","3x3","106","4","2,000,000,000","3,600","---","23 days, 15 hours","---",""
"","","16","3x3","225","20","1%","100,000,000","750","100","3 days, 18 hours","Iron Mine Lv. 16","","","16","3x3","100","8","1%","300,000,000","1,000","150","4 days, 21 hours","Smelter Lv. 16","","","16","3x3","53","4","1%","600,000,000","1,250","200","7 days, 7 hours, 30 mins","Jewel Storehouse Lv. 16","","","16","3x3","35","3","1%","1,800,000,000","1,250","250","14 days, 15 hours","Mausoleum Lv. 16","","","16","4x4","70 / 30 / 15 / 1","6 / 2 / 1","600,000,000","2,250","325","7 days, 12 hours","---","","","16","3x3","120","4","2,400,000,000","5,000","375","25 days, 14 hours, 15 mins","---",""
"","","17","3x3","250","25","2%","125,000,000","1,000","125","3 days, 22 hours","Iron Mine Lv. 17","","","17","3x3","110","10","2%","400,000,000","1,200","175","5 days, 2 hours, 12 mins","Smelter Lv. 17","","","17","3x3","58","5","2%","750,000,000","1,400","225","7 days, 15 hours, 18 mins","Jewel Storehouse Lv. 17","","","17","3x3","40","5","2%","2,250,000,000","1,500","300","15 days, 6 hours, 36 mins","Mausoleum Lv. 17","","","17","4x4","78 / 33 / 17 / 2","8 / 3 / 2 / 1","700,000,000","2,500","350","7 days, 20 hours","---","","","17","3x3","136","16","3,000,000,000","5,600","450","26 days, 17 hours, 33 mins","---",""
"","","18","3x3","275","25","3%","150,000,000","1,250","150","4 days, 4 hours","Iron Mine Lv. 18","","","18","3x3","120","10","3%","500,000,000","1,500","200","5 days, 10 hours","Smelter Lv. 18","","","18","3x3","63","5","3%","1,000,000,000","1,600","250","8 days, 3 hours","Jewel Storehouse Lv. 18","","","18","3x3","45","5","3%","3,000,000,000","1,750","350","16 days, 6 hours","Mausoleum Lv. 18","","","18","4x4","86 / 36 / 19 / 3","8 / 3 / 2 / 1","800,000,000","2,750","375","8 days, 8 hours","---","","","18","3x3","152","16","4,000,000,000","6,400","525","28 days, 10 hours, 30 mins","---",""
"","","19","3x3","300","25","4%","200,000,000","1,500","175","4 days, 10 hours","Iron Mine Lv. 19","","","19","3x3","130","10","4%","600,000,000","1,750","225","5 days, 17 hours, 48 mins","Smelter Lv. 19","","","19","3x3","68","5","4%","1,250,000,000","2,000","275","8 days, 14 hours, 42 mins","Jewel Storehouse Lv. 19","","","19","3x3","50","5","4%","3,750,000,000","2,250","400","17 days, 5 hours, 24 mins","Mausoleum Lv. 19","","","19","4x4","94 / 39 / 21 / 4","8 / 3 / 2 / 1","900,000,000","3,000","400","8 days, 20 hours","---","","","19","3x3","168","16","5,000,000,000","8,000","600","30 days, 3 hours, 27 mins","---",""
"","","20","3x3","325","25","5%","300,000,000","1,750","200","4 days, 16 hours","Iron Mine Lv. 20","","","20","3x3","140","10","5%","750,000,000","2,250","250","6 days, 1 hours, 36 mins","Smelter Lv. 20","","","20","3x3","73","5","5%","1,500,000,000","2,500","300","9 days, 2 hours, 24 mins","Jewel Storehouse Lv. 20","","","20","3x3","55","5","5%","4,500,000,000","3,000","500","18 days, 4 hours, 48 mins","Mausoleum Lv. 20","","","20","4x4","102 / 42 / 23 / 5","8 / 3 / 2 / 1","1,000,000,000","3,250","450","9 days, 8 hours","---","","","20","3x3","184","16","6,000,000,000","10,000","750","31 days, 20 hours, 24 mins","---",""
"","","21","3x3","350","25","6%","500,000,000","2,000","225","4 days, 22 hours","Iron Mine Lv. 20","","","21","3x3","150","10","6%","1,500,000,000","2,500","300","6 days, 9 hours, 24 mins","Smelter Lv. 20","","","21","3x3","78","5","6%","3,000,000,000","2,750","400","9 days, 14 hours, 6 mins","Jewel Storehouse Lv. 20","","","21","3x3","60","5","6%","9,000,000,000","3,250","600","19 days, 4 hours, 12 mins","Mausoleum Lv. 20","","","21","4x4","110 / 45 / 25 / 6","8 / 3 / 2 / 1","2,000,000,000","3,500","650","9 days, 14 hours, 6 mins","---","","","21","3x3","200","16","12,000,000,000","11,000","900","33 days, 13 hours, 21 mins","---",""
"","","22","3x3","380","30","7%","750,000,000","2,250","250","5 days, 4 hours","Iron Mine Lv. 21","","","22","3x3","162","12","7%","2,250,000,000","2,750","350","6 days, 17 hours, 12 mins","Smelter Lv. 21","","","22","3x3","84","6","7%","4,500,000,000","3,000","450","10 days, 1 hours, 48 mins","Jewel Storehouse Lv. 21","","","22","3x3","66","6","7%","13,500,000,000","3,500","650","20 days, 3 hours, 36 mins","Mausoleum Lv. 21","","","22","4x4","120 / 49 / 28 / 8","10 / 4 / 3 / 2","4,000,000,000","3,750","700","10 days, 1 hours, 48 mins","---","","","22","3x3","220","20","18,000,000,000","12,000","975","35 days, 6 hours, 18 mins","---",""
"","","23","3x3","410","30","8%","1,000,000,000","2,500","300","5 days, 10 hours","Iron Mine Lv. 22","","","23","3x3","174","12","8%","3,000,000,000","3,000","400","7 days, 1 hour","Smelter Lv. 22","","","23","3x3","90","6","8%","6,000,000,000","3,250","500","10 days, 13 hours, 30 mins","Jewel Storehouse Lv. 22","","","23","3x3","72","6","8%","18,000,000,000","3,750","700","21 days, 3 hours","Mausoleum Lv. 22","","","23","4x4","130 / 53 / 31 / 10","10 / 4 / 3 / 2","6,000,000,000","4,000","750","10 days, 13 hours, 30 mins","---","","","23","3x3","240","20","24,000,000,000","13,000","1,050","36 days, 23 hours, 15 mins","---",""
"","","24","3x3","440","30","9%","1,500,000,000","2,750","350","5 days, 16 hours","Iron Mine Lv. 22","","","24","3x3","186","12","9%","4,500,000,000","3,250","450","7 days, 8 hours, 48 mins","Smelter Lv. 22","","","24","3x3","96","6","9%","9,000,000,000","3,500","550","11 days, 1 hour, 12 mins","Jewel Storehouse Lv. 22","","","24","3x3","78","6","9%","27,000,000,000","4,000","800","22 days, 2 hours, 24 mins","Mausoleum Lv. 22","","","24","4x4","140 / 57 / 34 / 12","10 / 4 / 3 / 2","8,000,000,000","4,250","800","11 days, 1 hour, 12 mins","---","","","24","3x3","260","20","36,000,000,000","14,000","1,200","38 days, 16 hours, 12 mins","---",""
"","","25","3x3","470","30","10%","3,000,000,000","3,000","400","5 days, 22 hours","Iron Mine Lv. 23","","","25","3x3","198","12","10%","9,000,000,000","3,500","500","7 days, 16 hours, 36 mins","Smelter Lv. 23","","","25","3x3","102","6","10%","18,000,000,000","3,750","600","11 days, 12 hours, 54 mins","Jewel Storehouse Lv. 23","","","25","3x3","84","6","10%","54,000,000,000","4,500","1,000","23 days, 1 hours, 48 mins","Mausoleum Lv. 23","","","25","4x4","150 / 61 / 37 / 14","10 / 4 / 3 / 2","15,000,000,000","4,500","900","11 days, 12 hours, 54 mins","---","","","25","3x3","280","20","72,000,000,000","15,000","1,500","40 days, 9 hours, 9 mins","---",""
"","WOOD BIN","","","","","","","","","","","","IRONWOOD BIN","","","","","","","","","","","","ETHER BIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 1","1","2x2","35","","---","100","","---","---","---","","STAGE 1","1","2x2","15","","---","20,000","","---","---","---","","STAGE 1","1","2x2","8","","---","500,000","","---","---","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2","2x2","41","6","---","500","20","---","5 mins","---","","","2","2x2","18","3","---","50,000","30","---","3 hours","---","","","2","2x2","10","2","---","750,000","150","---","4 hours, 30 mins","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","3","2x2","47","6","---","2,500","25","---","1 hour","Lumberyard Lv. 2","","","3","2x2","21","3","---","150,000","50","---","3 hours, 30 mins","Ironwood Sawmill Lv. 2","","","3","2x2","12","2","---","1,000,000","200","---","5 hours, 15 mins","Ether Well Lv. 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","4","2x2","53","6","---","12,500","30","---","3 hours","Lumberyard Lv. 3","","","4","2x2","24","3","---","250,000","125","---","5 hours","Ironwood Sawmill Lv. 3","","","4","2x2","14","2","---","1,500,000","250","---","7 hours, 30 mins","Ether Well Lv. 3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","5","2x2","59","6","---","50,000","40","---","3 hours","Lumberyard Lv. 4","","","5","2x2","27","3","---","350,000","150","---","7 hours","Ironwood Sawmill Lv. 4","","","5","2x2","16","2","---","2,500,000","300","---","10 hours, 30 mins","Ether Well Lv. 4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 2","6","2x3","65","6","---","100,000","50","---","4 hours, 30 mins","Lumberyard Lv. 6","","STAGE 2","6","2x3","30","3","---","500,000","175","---","10 hours","Ironwood Sawmill Lv. 6","","STAGE 2","6","3x3","18","2","---","4,000,000","350","---","15 hours","Ether Well Lv. 6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","7","2x3","77","12","---","250,000","75","---","8 hours","Lumberyard Lv. 7","","","7","2x3","36","6","---","750,000","200","---","13 hours","Ironwood Sawmill Lv. 7","","","7","3x3","21","3","---","5,000,000","400","---","19 hours, 30 mins","Ether Well Lv. 7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","8","2x3","89","12","---","500,000","100","---","11 hours, 30 mins","Lumberyard Lv. 9","","","8","2x3","42","6","---","1,500,000","250","---","22 hours","Ironwood Sawmill Lv. 9","","","8","3x3","24","3","---","7,500,000","450","---","1 day, 9 hours","Ether Well Lv. 9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","9","2x3","101","12","---","1,000,000","125","---","16 hours","Lumberyard Lv. 10","","","9","2x3","48","6","---","3,000,000","300","---","1 day, 1 hour","Ironwood Sawmill Lv. 10","","","9","3x3","27","3","---","15,000,000","500","---","1 day, 13 hours, 30 mins","Ether Well Lv. 10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","10","2x3","113","12","---","2,500,000","150","---","1 day, 4 hours","Lumberyard Lv. 11","","","10","2x3","54","6","---","9,000,000","350","---","2 days, 8 hours","Ironwood Sawmill Lv. 11","","","10","3x3","30","3","---","30,000,000","550","---","3 days, 12 hours","Ether Well Lv. 11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 3","11","3x3","125","12","---","6,250,000","200","---","2 days","Lumberyard Lv. 12","","STAGE 3","11","3x3","60","6","---","15,000,000","400","---","2 days, 14 hours","Ironwood Sawmill Lv. 12","","STAGE 3","11","3x4","33","3","---","40,000,000","600","---","3 days, 21 hours","Ether Well Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","12","3x3","145","20","---","12,500,000","250","---","2 days, 6 hours","Lumberyard Lv. 12","","","12","3x3","68","8","---","25,000,000","450","---","3 days, 2 hours","Ironwood Sawmill Lv. 12","","","12","3x4","37","4","---","60,000,000","650","---","4 days, 15 hours","Ether Well Lv. 12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","13","3x3","165","20","---","25,000,000","300","---","2 days, 12 hours","Lumberyard Lv. 13","","","13","3x3","76","8","---","75,000,000","500","---","3 days, 14 hours","Ironwood Sawmill Lv. 13","","","13","3x4","41","4","---","100,000,000","700","---","5 days, 9 hours","Ether Well Lv. 13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","14","3x3","185","20","---","50,000,000","350","---","3 days","Lumberyard Lv. 14","","","14","3x3","84","8","---","150,000,000","600","---","4 days, 2 hours","Ironwood Sawmill Lv. 14","","","14","3x4","45","4","---","300,000,000","800","---","6 days, 3 hours","Ether Well Lv. 14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","15","3x3","205","20","---","75,000,000","500","---","3 days, 12 hours","Lumberyard Lv. 15","","","15","3x3","92","8","---","250,000,000","750","---","4 days, 12 hours","Ironwood Sawmill Lv. 15","","","15","3x4","49","4","---","500,000,000","900","---","6 days, 18 hours","Ether Well Lv. 15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","16","3x3","225","20","1%","100,000,000","750","100","3 days, 18 hours","Lumberyard Lv. 16","","","16","3x3","100","8","1%","300,000,000","1,000","150","4 days, 21 hours","Ironwood Sawmill Lv. 16","","","16","3x4","53","4","1%","600,000,000","1,250","200","7 days, 7 hours, 30 mins","Ether Well Lv. 16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","17","3x3","250","25","2%","125,000,000","1,000","125","3 days, 22 hours","Lumberyard Lv. 17","","","17","3x3","110","10","2%","400,000,000","1,200","175","5 days, 2 hours, 12 mins","Ironwood Sawmill Lv. 17","","","17","3x4","58","5","2%","750,000,000","1,400","225","7 days, 15 hours, 18 mins","Ether Well Lv. 17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","18","3x3","275","25","3%","150,000,000","1,250","150","4 days, 4 hours","Lumberyard Lv. 18","","","18","3x3","120","10","3%","500,000,000","1,500","200","5 days, 10 hours","Ironwood Sawmill Lv. 18","","","18","3x4","63","5","3%","1,000,000,000","1,600","250","8 days, 3 hours","Ether Well Lv. 18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","19","3x3","300","25","4%","200,000,000","1,500","175","4 days, 10 hours","Lumberyard Lv. 19","","","19","3x3","130","10","4%","600,000,000","1,750","225","5 days, 17 hours, 48 mins","Ironwood Sawmill Lv. 19","","","19","3x4","68","5","4%","1,250,000,000","2,000","275","8 days, 14 hours, 42 mins","Ether Well Lv. 19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","20","3x3","325","25","5%","300,000,000","1,750","200","4 days, 16 hours","Lumberyard Lv. 20","","","20","3x3","140","10","5%","750,000,000","2,250","250","6 days, 1 hours, 36 mins","Ironwood Sawmill Lv. 20","","","20","3x4","73","5","5%","1,500,000,000","2,500","300","9 days, 2 hours, 24 mins","Ether Well Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","21","3x3","350","25","6%","500,000,000","2,000","225","4 days, 22 hours","Lumberyard Lv. 20","","","21","3x3","150","10","6%","1,500,000,000","2,500","300","6 days, 9 hours, 24 mins","Ironwood Sawmill Lv. 20","","","21","3x3","78","5","6%","3,000,000,000","2,750","400","9 days, 14 hours, 6 mins","Ether Well Lv. 20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","22","3x3","380","30","7%","750,000,000","2,250","250","5 days, 4 hours","Lumberyard Lv. 21","","","22","3x3","162","12","7%","2,250,000,000","2,750","350","6 days, 17 hours, 12 mins","Ironwood Sawmill Lv. 21","","","22","3x3","84","6","7%","4,500,000,000","3,000","450","10 days, 1 hours, 48 mins","Ether Well Lv. 21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","23","3x3","410","30","8%","1,000,000,000","2,500","300","5 days, 10 hours","Lumberyard Lv. 22","","","23","3x3","174","12","8%","3,000,000,000","3,000","400","7 days, 1 hour","Ironwood Sawmill Lv. 22","","","23","3x3","90","6","8%","6,000,000,000","3,250","500","10 days, 13 hours, 30 mins","Ether Well Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","24","3x3","440","30","9%","1,500,000,000","2,750","350","5 days, 16 hours","Lumberyard Lv. 22","","","24","3x3","186","12","9%","4,500,000,000","3,250","450","7 days, 8 hours, 48 mins","Ironwood Sawmill Lv. 22","","","24","3x3","96","6","9%","9,000,000,000","3,500","550","11 days, 1 hour, 12 mins","Ether Well Lv. 22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","25","3x3","470","30","10%","3,000,000,000","3,000","400","5 days, 22 hours","Lumberyard Lv. 23","","","25","3x3","198","12","10%","9,000,000,000","3,500","500","7 days, 16 hours, 36 mins","Ironwood Sawmill Lv. 23","","","25","3x3","102","6","10%","18,000,000,000","3,750","600","11 days, 12 hours, 54 mins","Ether Well Lv. 23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","LEATHER BIN","","","","","","","","","","","","FABRIC BIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","Size","","","Regen Bonus (%)","","","Dragonmarks","Upgrade Time","Required Building","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","STAGE 1","1","2x2","35","","---","100","","---","---","---","","STAGE 1","1","2x2","15","","---","20,000","","---","---","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","2","2x2","41","6","---","500","20","---","5 mins","---","","","2","2x2","18","3","---","50,000","30","---","3 hours","---","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","3","2x2","47","6","---","2,500","25","---","1 hour","Tannery Lv. 2","","","3","2x2","21","3","---","150,000","50","---","3 hours, 30 mins","Weaver Mill Lv. 2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
