"","FIGHTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","ROGUE CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","","","SPELLCASTER CLASSES Hero stats listed take into account the hero's innate skill, where applicable.","","","","","","",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---",""
"","LORD
(Knight Class Promotion)","","Prerequisite","Titan Soul","HP","84","ELEMENT","","CONQUISTADOR
(Musketeer Class Promotion)","","Prerequisite","Titan Soul","HP","45","ELEMENT","","ARCH DRUID
(Druid Class Promotion)","","Prerequisite","Titan Soul","HP","40","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","30","","","","","Critical Hit Chance","20%","ATK","30","","","","","Critical Hit Chance","5%","ATK","90","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","75","Light","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","35","Fire","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","35","Earth",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","0%","","","Gem Hire Cost","---","Threat Rating","40","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Spear","Heavy Armor","Gauntlets","Helmet","Heavy Footwear","Shield","Lv. 5","","Crossbow","Light Armor","Gloves","Heavy Footwear","Potion","Amulet","Lv. 5","","Staff","Clothes","Herbal Medicine","Herbal Medicine","Amulet","Spell","Lv. 5",""
"","Axe","---","---","---","---","---","Lv. 10","","Sword","---","---","Light Footwear","Meal","Quiver","Lv. 10","","Bow","---","Meal","Meal","Ring","Quiver","Lv. 10",""
"","Sword","---","---","---","---","---","Lv. 23","","Gun","---","---","---","---","---","Lv. 23","","Wand","---","---","---","Idol","---","Lv. 23",""
"","Mace","---","---","---","---","---","Lv. 35","","---","---","---","---","---","---","Lv. 35","","Instrument","---","---","---","---","---","Lv. 35",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---",""
"","RANGER","","Prerequisite","Merchant Lv. 32","HP","33","ELEMENT","","WANDERER","","Prerequisite","Merchant Lv. 32","HP","25","ELEMENT","","SORCERER","","Prerequisite","Merchant Lv. 32","HP","20","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","15","","","","","Critical Hit Chance","20%","ATK","15","","","","","Critical Hit Chance","5%","ATK","35","",""
"","Gold Hire Cost","250,000","Critical Hit Damage","2x","DEF","20","Air","","Gold Hire Cost","250,000","Critical Hit Damage","2x","DEF","12","Earth","","Gold Hire Cost","250,000","Critical Hit Damage","2x","DEF","12","Dark",""
"","Gem Hire Cost","300","Threat Rating","90","EVA","20%","","","Gem Hire Cost","300","Threat Rating","40","EVA","30%","","","Gem Hire Cost","300","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Bow","Heavy Armor","Gauntlets","Helmet","Potion","Ring","Lv. 5","","Dagger","Light Armor","Rogue Hat","Light Footwear","Herbal Medicine","Amulet","Lv. 5","","Staff","Clothes","Gloves","Light Footwear","Spell","Spell","Lv. 5",""
"","Crossbow","---","---","---","Meal","Cloak","Lv. 10","","Axe","---","---","---","Meal","Dessert","Lv. 10","","Dagger","---","Dessert","---","---","---","Lv. 10",""
"","Gun","---","---","---","---","Quiver","Lv. 23","","Gun","---","---","---","Cloak","Idol","Lv. 23","","Wand","---","---","---","---","---","Lv. 23",""
"","---","---","---","---","---","---","---","","---","---","---","---","Quiver","---","---","","Catalyst","---","---","---","---","---","---",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Scythe","---","---","---","---","---","---",""
"","WARDEN
(Ranger Class Promotion)","","Prerequisite","Titan Soul","HP","66","ELEMENT","","PATHFINDER
(Wanderer Class Promotion)","","Prerequisite","Titan Soul","HP","50","ELEMENT","","WARLOCK
(Sorcerer Class Promotion)","","Prerequisite","Titan Soul","HP","40","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","45","","","","","Critical Hit Chance","20%","ATK","30","","","","","Critical Hit Chance","5%","ATK","100","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","60","Air","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","35","Earth","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","35","Dark",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","25%","","","Gem Hire Cost","---","Threat Rating","40","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Bow","Heavy Armor","Gauntlets","Helmet","Potion","Ring","Lv. 5","","Dagger","Light Armor","Rogue Hat","Light Footwear","Herbal Medicine","Amulet","Lv. 5","","Staff","Clothes","Gloves","Light Footwear","Spell","Spell","Lv. 5",""
"","Crossbow","---","---","---","Meal","Cloak","Lv. 10","","Axe","---","---","---","Meal","Dessert","Lv. 10","","Dagger","---","Dessert","---","---","---","Lv. 10",""
"","Gun","---","---","---","---","Quiver","Lv. 23","","Gun","---","---","---","Cloak","Idol","Lv. 23","","Wand","---","---","---","---","---","Lv. 23",""
"","---","---","---","---","---","---","Lv. 35","","---","---","---","---","Quiver","---","Lv. 35","","Catalyst","---","---","---","---","---","Lv. 35",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Scythe","---","---","---","---","---","---",""
"","SAMURAI","","Prerequisite","Merchant Lv. 41","HP","40","ELEMENT","","NINJA","","Prerequisite","Merchant Lv. 41","HP","30","ELEMENT","","SPELLBLADE","","Prerequisite","Merchant Lv. 41","HP","23","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","20","","","","","Critical Hit Chance","20% (+20%)","ATK","20","","","","","Critical Hit Chance","5%","ATK","40","",""
"","Gold Hire Cost","1,000,000","Critical Hit Damage","2x","DEF","25","Water","","Gold Hire Cost","1,000,000","Critical Hit Damage","3x","DEF","15","Dark","","Gold Hire Cost","1,000,000","Critical Hit Damage","2x","DEF","15","Any",""
"","Gem Hire Cost","450","Threat Rating","90","EVA","10%","","","Gem Hire Cost","450","Threat Rating","30","EVA","30% (+20%)","","","Gem Hire Cost","450","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Helmet","Heavy Footwear","Potion","Lv. 5","","Dagger","Light Armor","Rogue Hat","Gloves","Light Footwear","Ring","Lv. 5","","Sword","Heavy Armor","Magician Hat","Heavy Footwear","Amulet","Amulet","Lv. 5",""
"","Bow","---","---","---","---","Meal","Lv. 10","","Sword","---","Mask","---","---","Meal","Lv. 10","","Axe","Light Armor","Helmet","Light Footwear","Ring","Ring","Lv. 10",""
"","Spear","---","---","---","---","Quiver","Lv. 23","","Bow","---","---","---","---","Quiver","Lv. 23","","Staff","Clothes","Gauntlets","---","Potion","Herbal Medicine","Lv. 23",""
"","---","---","---","---","---","---","Lv. 35","","Scythe","---","---","---","---","---","Lv. 35","","Bow","---","Gloves","---","Spell","Shield","Lv. 35",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Instrument","---","Mask","---","---","Quiver","---",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","---","---","---","---","---","Idol","---",""
"","DAIMYO
(Samurai Class Promotion)","","Prerequisite","Titan Soul","HP","80","ELEMENT","","SENSEI
(Ninja Class Promotion)","","Prerequisite","Titan Soul","HP","60","ELEMENT","","SPELLKNIGHT
(Spellblade Class Promotion)","","Prerequisite","Titan Soul","HP","45","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","60","","","","","Critical Hit Chance","20%","ATK","60","","","","","Critical Hit Chance","5%","ATK","120","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","75","Water","","Gold Hire Cost","---","Critical Hit Damage","3x","DEF","45","Dark","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","45","Any",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","10%","","","Gem Hire Cost","---","Threat Rating","30","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Helmet","Heavy Footwear","Potion","Lv. 5","","Dagger","Light Armor","Rogue Hat","Gloves","Light Footwear","Ring","Lv. 5","","Sword","Heavy Armor","Magician Hat","Heavy Footwear","Amulet","Amulet","Lv. 5",""
"","Bow","---","---","---","---","Meal","Lv. 10","","Sword","---","Mask","---","---","Meal","Lv. 10","","Axe","Light Armor","Helmet","Light Footwear","Ring","Ring","Lv. 10",""
"","Spear","---","---","---","---","Quiver","Lv. 23","","Bow","---","---","---","---","Quiver","Lv. 23","","Staff","Clothes","Gauntlets","---","Potion","Herbal Medicine","Lv. 23",""
"","---","---","---","---","---","---","Lv. 35","","Scythe","---","---","---","---","---","Lv. 35","","Bow","---","Gloves","---","Spell","Shield","Lv. 35",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","Instrument","---","Mask","---","---","Quiver","---",""
"","---","---","---","---","---","---","---","","---","---","---","---","---","---","---","","---","---","---","---","---","Idol","---",""
"","BERSERKER","","Prerequisite","Merchant Lv. 48","HP","50","ELEMENT","","DANCER","","Prerequisite","Merchant Lv. 48","HP","35","ELEMENT","","GEOMANCER","","Prerequisite","Merchant Lv. 48","HP","25","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","25","","","","","Critical Hit Chance","20%","ATK","30","","","","","Critical Hit Chance","5%","ATK","60","",""
"","Gold Hire Cost","5,000,000","Critical Hit Damage","2x","DEF","30","Fire","","Gold Hire Cost","5,000,000","Critical Hit Damage","3x","DEF","20","Air","","Gold Hire Cost","5,000,000","Critical Hit Damage","2x","DEF","20","Water",""
"","Gem Hire Cost","750","Threat Rating","90","EVA","0%","","","Gem Hire Cost","750","Threat Rating","40","EVA","30%","","","Gem Hire Cost","750","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Mace","Heavy Armor","Gauntlets","Heavy Footwear","Shield","Herbal Medicine","Lv. 5","","Dagger","Light Armor","Rogue Hat","Gloves","Light Footwear","Ring","Lv. 5","","Staff","Clothes","Magician Hat","Gloves","Spell","Herbal Medicine","Lv. 5",""
"","Axe","---","---","---","Cloak","Potion","Lv. 10","","Bow","---","Mask","---","---","Amulet","Lv. 10","","Mace","---","Mask","---","---","Dessert","Lv. 10",""
"","Gun","---","---","---","Quiver","Dessert","Lv. 23","","Crossbow","---","---","---","---","Quiver","Lv. 23","","Wand","---","---","---","---","Shield","Lv. 23",""
"","Instrument","---","---","---","Idol","---","Lv. 35","","Wand","---","---","---","---","Idol","Lv. 35","","Catalyst","---","---","---","---","---","Lv. 35",""
"","Scythe","---","---","---","---","---","---","","Instrument","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","JARL
(Berserker Class Promotion)","","Prerequisite","Titan Soul","HP","100","ELEMENT","","ACROBAT
(Dancer Class Promotion)","","Prerequisite","Titan Soul","HP","70","ELEMENT","","ASTRAMANCER
(Geomancer Class Promotion)","","Prerequisite","Titan Soul","HP","50","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","75","","","","","Critical Hit Chance","20%","ATK","90","","","","","Critical Hit Chance","5%","ATK","180","",""
"","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","90","Fire","","Gold Hire Cost","---","Critical Hit Damage","3x","DEF","60","Air","","Gold Hire Cost","---","Critical Hit Damage","2x","DEF","60","Water",""
"","Gem Hire Cost","---","Threat Rating","90","EVA","0%","","","Gem Hire Cost","---","Threat Rating","40","EVA","30%","","","Gem Hire Cost","---","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Mace","Heavy Armor","Gauntlets","Heavy Footwear","Shield","Herbal Medicine","Lv. 5","","Dagger","Light Armor","Rogue Hat","Gloves","Light Footwear","Ring","Lv. 5","","Staff","Clothes","Magician Hat","Gloves","Spell","Herbal Medicine","Lv. 5",""
"","Axe","---","Helmet","---","Cloak","Potion","Lv. 10","","Bow","---","Mask","---","---","Amulet","Lv. 10","","Mace","---","Mask","---","---","Dessert","Lv. 10",""
"","Gun","---","---","---","Quiver","Dessert","Lv. 23","","Crossbow","---","---","---","---","Quiver","Lv. 23","","Wand","---","---","---","---","Shield","Lv. 23",""
"","Instrument","---","---","---","Idol","---","Lv. 35","","Wand","---","---","---","---","Idol","Lv. 35","","Catalyst","---","---","---","---","---","Lv. 35",""
"","Scythe","---","---","---","---","---","---","","Instrument","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","---","---","---","---","---","---","---","","Catalyst","---","---","---","---","---","---","","---","---","---","---","---","---","---",""
"","DARK KNIGHT","","Prerequisite","Merchant Lv. 58","HP","100","ELEMENT","","VELITE","","Prerequisite","Merchant Lv. 58","HP","40","ELEMENT","","CHRONOMANCER","","Prerequisite","Merchant Lv. 58","HP","30","ELEMENT",""
"","","","Critical Hit Chance","5%","ATK","75","","","","","Critical Hit Chance","20%","ATK","50","","","","","Critical Hit Chance","5%","ATK","200","",""
"","Gold Hire Cost","25,000,000","Critical Hit Damage","2x","DEF","90","Dark","","Gold Hire Cost","25,000,000","Critical Hit Damage","2x","DEF","50","Light","","Gold Hire Cost","25,000,000","Critical Hit Damage","2x","DEF","40","Air",""
"","Gem Hire Cost","1,000","Threat Rating","90","EVA","0%","","","Gem Hire Cost","1,000","Threat Rating","60","EVA","30%","","","Gem Hire Cost","1,000","Threat Rating","10","EVA","0%","",""
"","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock","","Equipment Slot 1","Equipment Slot 2","Equipment Slot 3","Equipment Slot 4","Equipment Slot 5","Equipment Slot 6","Skill Slot Unlock",""
"","Sword","Heavy Armor","Gauntlets","Heavy Footwear","Spell","Shield","Lv. 5","","Shield","Light Armor","Rogue Hat","Gloves","Light Footwear","Meal","Lv. 5","","Staff","Clothes","Magician Hat","Light Footwear","Spell","Ring","Lv. 5",""
"","Axe","---","Helmet","---","Amulet","Cloak","Lv. 10","","---","---","Mask","---","---","Dessert","Lv. 10","","Sword","---","Mask","---","---","Amulet","Lv. 10",""
"","Mace","---","Mask","---","Idol","Quiver","Lv. 23","","---","---","---","---","---","Ring","Lv. 23","","Wand","---","---","---","---","Meal","Lv. 23",""
"","Crossbow","---","---","---","---","Idol","Lv. 35","","---","---","---","---","---","Amulet","Lv. 35","","Instrument","---","---","---","---","Idol","Lv. 35",""
